timestamp,interface,protocol,src_mac,dst_mac,src_ip,dst_ip,size,summary
2026-04-14T15:27:42.618,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,150.171.109.215,66,TCP 60350 -> 443 flags=FA
2026-04-14T15:27:42.656,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,150.171.109.215,172.26.22.44,66,TCP 443 -> 60350 flags=A
2026-04-14T15:27:43.663,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,184,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:43.663,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,2542,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:43.663,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,2542,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:43.665,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,2542,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:43.665,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,2147,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:43.880,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,52.182.143.210,172.26.22.44,66,TCP 443 -> 37732 flags=A
2026-04-14T15:27:43.880,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,52.182.143.210,172.26.22.44,66,TCP 443 -> 37732 flags=A
2026-04-14T15:27:43.880,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,52.182.143.210,172.26.22.44,66,TCP 443 -> 37732 flags=A
2026-04-14T15:27:43.880,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,52.182.143.210,172.26.22.44,66,TCP 443 -> 37732 flags=A
2026-04-14T15:27:43.880,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,52.182.143.210,172.26.22.44,160,TCP 443 -> 37732 flags=PA
2026-04-14T15:27:43.880,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,66,TCP 37732 -> 443 flags=A
2026-04-14T15:27:44.373,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,172.64.148.235,172.26.22.44,90,TCP 443 -> 58488 flags=PA
2026-04-14T15:27:44.373,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,172.64.148.235,94,TCP 58488 -> 443 flags=PA
2026-04-14T15:27:44.381,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,172.64.148.235,172.26.22.44,66,TCP 443 -> 58488 flags=A
2026-04-14T15:27:45.999,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,184,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:45.999,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,2542,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:45.999,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,2542,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:46.001,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,2542,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:46.001,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,2131,TCP 37732 -> 443 flags=PA
